task_id,task_type,description,pre_tasks,requirements,affected_factors
83,Type C,Description task 83,[31],"{""certificates"": [""CSPA""], ""majors"": ""CS"", ""type_majors"": ""Outst""}","[(1, 'Product', 4), (2, 'Product', 4), (3, 'Product', 4), (4, 'Product', 1), (5, 'Product', 3), (6, 'Product', 5), (7, 'Product', 3), (8, 'Product', 4), (9, 'Product', 3), (10, 'Product', 5), (11, 'Environment', 4), (12, 'Environment', 2), (13, 'Environment', 4), (14, 'Environment', 1), (15, 'Environment', 1), (16, 'Environment', 5), (17, 'Environment', 2), (18, 'Environment', 5), (19, 'Environment', 1), (20, 'Environment', 3)]"
84,Type B,Description task 84,"[307, 374]","{""certificates"": [""CHFI""], ""majors"": ""Math"", ""type_majors"": ""Excel""}","[(1, 'Product', 3), (2, 'Product', 2), (3, 'Product', 1), (4, 'Product', 1), (5, 'Product', 1), (6, 'Product', 4), (7, 'Product', 2), (8, 'Product', 2), (9, 'Product', 4), (10, 'Product', 1), (11, 'Environment', 2), (12, 'Environment', 3), (13, 'Environment', 2), (14, 'Environment', 4), (15, 'Environment', 1), (16, 'Environment', 1), (17, 'Environment', 1), (18, 'Environment', 5), (19, 'Environment', 5), (20, 'Environment', 3)]"
85,Type B,Description task 85,"[354, 98]","{""certificates"": [""CEH""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Outst""}","[(1, 'Product', 4), (2, 'Product', 4), (3, 'Product', 3), (4, 'Product', 2), (5, 'Product', 5), (6, 'Product', 5), (7, 'Product', 4), (8, 'Product', 1), (9, 'Product', 3), (10, 'Product', 5), (11, 'Environment', 1), (12, 'Environment', 5), (13, 'Environment', 5), (14, 'Environment', 2), (15, 'Environment', 2), (16, 'Environment', 4), (17, 'Environment', 2), (18, 'Environment', 1), (19, 'Environment', 2), (20, 'Environment', 2)]"
86,Type B,Description task 86,"[25, 336, 431, 239, 349, 89]","{""certificates"": [""OSCP""], ""majors"": ""DS"", ""type_majors"": ""Good""}","[(1, 'Product', 5), (2, 'Product', 5), (3, 'Product', 5), (4, 'Product', 5), (5, 'Product', 5), (6, 'Product', 5), (7, 'Product', 5), (8, 'Product', 4), (9, 'Product', 4), (10, 'Product', 2), (11, 'Environment', 4), (12, 'Environment', 2), (13, 'Environment', 5), (14, 'Environment', 2), (15, 'Environment', 2), (16, 'Environment', 5), (17, 'Environment', 2), (18, 'Environment', 4), (19, 'Environment', 5), (20, 'Environment', 5)]"
87,Type A,Description task 87,"[328, 406, 152]","{""certificates"": [""CHFI""], ""majors"": ""CS"", ""type_majors"": ""Outst""}","[(1, 'Product', 4), (2, 'Product', 3), (3, 'Product', 2), (4, 'Product', 2), (5, 'Product', 3), (6, 'Product', 5), (7, 'Product', 2), (8, 'Product', 5), (9, 'Product', 4), (10, 'Product', 3), (11, 'Environment', 4), (12, 'Environment', 3), (13, 'Environment', 1), (14, 'Environment', 3), (15, 'Environment', 4), (16, 'Environment', 3), (17, 'Environment', 4), (18, 'Environment', 1), (19, 'Environment', 3), (20, 'Environment', 2)]"
88,Type A,Description task 88,"[238, 419]","{""certificates"": [""CHFI""], ""majors"": ""DS"", ""type_majors"": ""Excel""}","[(1, 'Product', 2), (2, 'Product', 3), (3, 'Product', 2), (4, 'Product', 4), (5, 'Product', 3), (6, 'Product', 1), (7, 'Product', 2), (8, 'Product', 3), (9, 'Product', 1), (10, 'Product', 3), (11, 'Environment', 5), (12, 'Environment', 2), (13, 'Environment', 3), (14, 'Environment', 2), (15, 'Environment', 1), (16, 'Environment', 3), (17, 'Environment', 2), (18, 'Environment', 2), (19, 'Environment', 4), (20, 'Environment', 5)]"
89,Type B,Description task 89,"[58, 365, 286, 270, 115, 236]","{""certificates"": [""OSCP""], ""majors"": ""Math"", ""type_majors"": ""Excel""}","[(1, 'Product', 1), (2, 'Product', 2), (3, 'Product', 3), (4, 'Product', 1), (5, 'Product', 5), (6, 'Product', 2), (7, 'Product', 3), (8, 'Product', 3), (9, 'Product', 3), (10, 'Product', 4), (11, 'Environment', 3), (12, 'Environment', 1), (13, 'Environment', 4), (14, 'Environment', 5), (15, 'Environment', 5), (16, 'Environment', 3), (17, 'Environment', 2), (18, 'Environment', 5), (19, 'Environment', 3), (20, 'Environment', 5)]"
90,Type B,Description task 90,"[107, 198, 40, 56]","{""certificates"": [""OSCP""], ""majors"": ""Math"", ""type_majors"": ""Avg""}","[(1, 'Product', 3), (2, 'Product', 4), (3, 'Product', 4), (4, 'Product', 3), (5, 'Product', 1), (6, 'Product', 3), (7, 'Product', 2), (8, 'Product', 3), (9, 'Product', 5), (10, 'Product', 1), (11, 'Environment', 2), (12, 'Environment', 2), (13, 'Environment', 4), (14, 'Environment', 1), (15, 'Environment', 5), (16, 'Environment', 1), (17, 'Environment', 1), (18, 'Environment', 5), (19, 'Environment', 4), (20, 'Environment', 2)]"
91,Type C,Description task 91,"[320, 35, 352, 456, 147, 79]","{""certificates"": [""OSCE""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Good""}","[(1, 'Product', 2), (2, 'Product', 2), (3, 'Product', 2), (4, 'Product', 3), (5, 'Product', 3), (6, 'Product', 5), (7, 'Product', 4), (8, 'Product', 1), (9, 'Product', 4), (10, 'Product', 1), (11, 'Environment', 2), (12, 'Environment', 5), (13, 'Environment', 5), (14, 'Environment', 1), (15, 'Environment', 1), (16, 'Environment', 2), (17, 'Environment', 1), (18, 'Environment', 5), (19, 'Environment', 3), (20, 'Environment', 2)]"
92,Type C,Description task 92,"[340, 429, 95]","{""certificates"": [""CISSP""], ""majors"": ""IT"", ""type_majors"": ""Good""}","[(1, 'Product', 1), (2, 'Product', 1), (3, 'Product', 2), (4, 'Product', 2), (5, 'Product', 2), (6, 'Product', 3), (7, 'Product', 4), (8, 'Product', 5), (9, 'Product', 1), (10, 'Product', 4), (11, 'Environment', 1), (12, 'Environment', 5), (13, 'Environment', 4), (14, 'Environment', 3), (15, 'Environment', 1), (16, 'Environment', 1), (17, 'Environment', 4), (18, 'Environment', 4), (19, 'Environment', 3), (20, 'Environment', 1)]"
93,Type C,Description task 93,"[220, 311, 490]","{""certificates"": [""CSPA""], ""majors"": ""CS"", ""type_majors"": ""Excel""}","[(1, 'Product', 3), (2, 'Product', 3), (3, 'Product', 1), (4, 'Product', 1), (5, 'Product', 3), (6, 'Product', 3), (7, 'Product', 4), (8, 'Product', 2), (9, 'Product', 1), (10, 'Product', 2), (11, 'Environment', 5), (12, 'Environment', 5), (13, 'Environment', 1), (14, 'Environment', 1), (15, 'Environment', 3), (16, 'Environment', 2), (17, 'Environment', 3), (18, 'Environment', 1), (19, 'Environment', 2), (20, 'Environment', 4)]"
94,Type A,Description task 94,"[162, 420, 16]","{""certificates"": [""CEH""], ""majors"": ""Math"", ""type_majors"": ""Outst""}","[(1, 'Product', 3), (2, 'Product', 3), (3, 'Product', 5), (4, 'Product', 3), (5, 'Product', 5), (6, 'Product', 2), (7, 'Product', 1), (8, 'Product', 3), (9, 'Product', 4), (10, 'Product', 5), (11, 'Environment', 5), (12, 'Environment', 5), (13, 'Environment', 5), (14, 'Environment', 5), (15, 'Environment', 1), (16, 'Environment', 3), (17, 'Environment', 3), (18, 'Environment', 1), (19, 'Environment', 4), (20, 'Environment', 2)]"
95,Type B,Description task 95,"[154, 403, 249, 469]","{""certificates"": [""CSPA""], ""majors"": ""IT"", ""type_majors"": ""Excel""}","[(1, 'Product', 3), (2, 'Product', 5), (3, 'Product', 1), (4, 'Product', 1), (5, 'Product', 1), (6, 'Product', 3), (7, 'Product', 5), (8, 'Product', 4), (9, 'Product', 1), (10, 'Product', 1), (11, 'Environment', 4), (12, 'Environment', 4), (13, 'Environment', 2), (14, 'Environment', 2), (15, 'Environment', 2), (16, 'Environment', 2), (17, 'Environment', 1), (18, 'Environment', 4), (19, 'Environment', 3), (20, 'Environment', 5)]"
96,Type B,Description task 96,[321],"{""certificates"": [""CSPA""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Good""}","[(1, 'Product', 1), (2, 'Product', 1), (3, 'Product', 1), (4, 'Product', 5), (5, 'Product', 2), (6, 'Product', 3), (7, 'Product', 3), (8, 'Product', 5), (9, 'Product', 4), (10, 'Product', 1), (11, 'Environment', 1), (12, 'Environment', 1), (13, 'Environment', 4), (14, 'Environment', 4), (15, 'Environment', 5), (16, 'Environment', 5), (17, 'Environment', 1), (18, 'Environment', 2), (19, 'Environment', 3), (20, 'Environment', 5)]"
97,Type A,Description task 97,"[88, 196, 260]","{""certificates"": [""CHFI""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Good""}","[(1, 'Product', 3), (2, 'Product', 4), (3, 'Product', 1), (4, 'Product', 1), (5, 'Product', 3), (6, 'Product', 1), (7, 'Product', 1), (8, 'Product', 3), (9, 'Product', 4), (10, 'Product', 3), (11, 'Environment', 1), (12, 'Environment', 3), (13, 'Environment', 4), (14, 'Environment', 1), (15, 'Environment', 1), (16, 'Environment', 1), (17, 'Environment', 4), (18, 'Environment', 2), (19, 'Environment', 1), (20, 'Environment', 5)]"
98,Type B,Description task 98,"[117, 330, 488, 420]","{""certificates"": [""OSCE""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Good""}","[(1, 'Product', 1), (2, 'Product', 4), (3, 'Product', 3), (4, 'Product', 3), (5, 'Product', 1), (6, 'Product', 1), (7, 'Product', 1), (8, 'Product', 5), (9, 'Product', 3), (10, 'Product', 2), (11, 'Environment', 2), (12, 'Environment', 3), (13, 'Environment', 4), (14, 'Environment', 2), (15, 'Environment', 4), (16, 'Environment', 5), (17, 'Environment', 1), (18, 'Environment', 2), (19, 'Environment', 1), (20, 'Environment', 2)]"
99,Type C,Description task 99,"[64, 338, 382, 256, 237, 298]","{""certificates"": [""CSPA""], ""majors"": ""CS"", ""type_majors"": ""Excel""}","[(1, 'Product', 4), (2, 'Product', 5), (3, 'Product', 1), (4, 'Product', 2), (5, 'Product', 5), (6, 'Product', 5), (7, 'Product', 3), (8, 'Product', 1), (9, 'Product', 5), (10, 'Product', 5), (11, 'Environment', 3), (12, 'Environment', 5), (13, 'Environment', 4), (14, 'Environment', 1), (15, 'Environment', 1), (16, 'Environment', 3), (17, 'Environment', 3), (18, 'Environment', 4), (19, 'Environment', 3), (20, 'Environment', 3)]"
100,Type C,Description task 100,"[201, 494, 300, 311, 495, 394]","{""certificates"": [""CHFI""], ""majors"": ""IT"", ""type_majors"": ""Excel""}","[(1, 'Product', 1), (2, 'Product', 1), (3, 'Product', 2), (4, 'Product', 4), (5, 'Product', 1), (6, 'Product', 1), (7, 'Product', 5), (8, 'Product', 5), (9, 'Product', 4), (10, 'Product', 3), (11, 'Environment', 3), (12, 'Environment', 5), (13, 'Environment', 2), (14, 'Environment', 5), (15, 'Environment', 5), (16, 'Environment', 2), (17, 'Environment', 1), (18, 'Environment', 3), (19, 'Environment', 5), (20, 'Environment', 5)]"
101,Type C,Description task 101,[38],"{""certificates"": [""CSPA""], ""majors"": ""CS"", ""type_majors"": ""Excel""}","[(1, 'Product', 5), (2, 'Product', 2), (3, 'Product', 3), (4, 'Product', 1), (5, 'Product', 5), (6, 'Product', 2), (7, 'Product', 1), (8, 'Product', 5), (9, 'Product', 5), (10, 'Product', 3), (11, 'Environment', 2), (12, 'Environment', 1), (13, 'Environment', 1), (14, 'Environment', 3), (15, 'Environment', 2), (16, 'Environment', 4), (17, 'Environment', 5), (18, 'Environment', 1), (19, 'Environment', 3), (20, 'Environment', 2)]"
102,Type B,Description task 102,[440],"{""certificates"": [""CSPA""], ""majors"": ""IT"", ""type_majors"": ""Avg""}","[(1, 'Product', 4), (2, 'Product', 3), (3, 'Product', 2), (4, 'Product', 1), (5, 'Product', 4), (6, 'Product', 3), (7, 'Product', 2), (8, 'Product', 3), (9, 'Product', 3), (10, 'Product', 4), (11, 'Environment', 1), (12, 'Environment', 1), (13, 'Environment', 4), (14, 'Environment', 3), (15, 'Environment', 1), (16, 'Environment', 3), (17, 'Environment', 3), (18, 'Environment', 3), (19, 'Environment', 1), (20, 'Environment', 3)]"
103,Type B,Description task 103,"[102, 312, 419, 418]","{""certificates"": [""CISSP""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Excel""}","[(1, 'Product', 1), (2, 'Product', 1), (3, 'Product', 2), (4, 'Product', 3), (5, 'Product', 4), (6, 'Product', 5), (7, 'Product', 4), (8, 'Product', 5), (9, 'Product', 5), (10, 'Product', 4), (11, 'Environment', 1), (12, 'Environment', 1), (13, 'Environment', 2), (14, 'Environment', 3), (15, 'Environment', 2), (16, 'Environment', 2), (17, 'Environment', 3), (18, 'Environment', 5), (19, 'Environment', 4), (20, 'Environment', 3)]"
104,Type A,Description task 104,"[351, 271, 251, 324, 420]","{""certificates"": [""CSPA""], ""majors"": ""CS"", ""type_majors"": ""Good""}","[(1, 'Product', 2), (2, 'Product', 3), (3, 'Product', 5), (4, 'Product', 3), (5, 'Product', 4), (6, 'Product', 1), (7, 'Product', 1), (8, 'Product', 1), (9, 'Product', 1), (10, 'Product', 3), (11, 'Environment', 4), (12, 'Environment', 1), (13, 'Environment', 3), (14, 'Environment', 2), (15, 'Environment', 3), (16, 'Environment', 1), (17, 'Environment', 4), (18, 'Environment', 2), (19, 'Environment', 4), (20, 'Environment', 3)]"
105,Type A,Description task 105,"[494, 420, 185]","{""certificates"": [""OSCP""], ""majors"": ""DS"", ""type_majors"": ""Excel""}","[(1, 'Product', 4), (2, 'Product', 2), (3, 'Product', 3), (4, 'Product', 4), (5, 'Product', 2), (6, 'Product', 1), (7, 'Product', 2), (8, 'Product', 3), (9, 'Product', 4), (10, 'Product', 4), (11, 'Environment', 4), (12, 'Environment', 3), (13, 'Environment', 5), (14, 'Environment', 5), (15, 'Environment', 5), (16, 'Environment', 5), (17, 'Environment', 1), (18, 'Environment', 1), (19, 'Environment', 3), (20, 'Environment', 2)]"
106,Type A,Description task 106,"[351, 386, 487, 455, 405]","{""certificates"": [""OSCE""], ""majors"": ""CS"", ""type_majors"": ""Avg""}","[(1, 'Product', 1), (2, 'Product', 4), (3, 'Product', 2), (4, 'Product', 5), (5, 'Product', 2), (6, 'Product', 2), (7, 'Product', 3), (8, 'Product', 4), (9, 'Product', 5), (10, 'Product', 1), (11, 'Environment', 3), (12, 'Environment', 4), (13, 'Environment', 2), (14, 'Environment', 4), (15, 'Environment', 1), (16, 'Environment', 5), (17, 'Environment', 4), (18, 'Environment', 1), (19, 'Environment', 4), (20, 'Environment', 5)]"
107,Type C,Description task 107,"[135, 243, 271, 192, 341, 296]","{""certificates"": [""OSCP""], ""majors"": ""CS"", ""type_majors"": ""Avg""}","[(1, 'Product', 4), (2, 'Product', 1), (3, 'Product', 5), (4, 'Product', 4), (5, 'Product', 4), (6, 'Product', 2), (7, 'Product', 4), (8, 'Product', 4), (9, 'Product', 4), (10, 'Product', 2), (11, 'Environment', 5), (12, 'Environment', 5), (13, 'Environment', 1), (14, 'Environment', 2), (15, 'Environment', 4), (16, 'Environment', 2), (17, 'Environment', 4), (18, 'Environment', 1), (19, 'Environment', 5), (20, 'Environment', 5)]"
108,Type C,Description task 108,"[242, 267, 304, 152, 195, 395]","{""certificates"": [""CSPA""], ""majors"": ""DS"", ""type_majors"": ""Good""}","[(1, 'Product', 3), (2, 'Product', 3), (3, 'Product', 1), (4, 'Product', 1), (5, 'Product', 1), (6, 'Product', 3), (7, 'Product', 3), (8, 'Product', 1), (9, 'Product', 4), (10, 'Product', 4), (11, 'Environment', 3), (12, 'Environment', 2), (13, 'Environment', 4), (14, 'Environment', 4), (15, 'Environment', 1), (16, 'Environment', 4), (17, 'Environment', 4), (18, 'Environment', 1), (19, 'Environment', 3), (20, 'Environment', 3)]"
109,Type C,Description task 109,"[285, 476, 500, 286]","{""certificates"": [""OSCP""], ""majors"": ""DS"", ""type_majors"": ""Avg""}","[(1, 'Product', 5), (2, 'Product', 2), (3, 'Product', 4), (4, 'Product', 3), (5, 'Product', 1), (6, 'Product', 5), (7, 'Product', 5), (8, 'Product', 4), (9, 'Product', 2), (10, 'Product', 5), (11, 'Environment', 2), (12, 'Environment', 2), (13, 'Environment', 5), (14, 'Environment', 4), (15, 'Environment', 3), (16, 'Environment', 5), (17, 'Environment', 4), (18, 'Environment', 4), (19, 'Environment', 5), (20, 'Environment', 4)]"
110,Type B,Description task 110,"[416, 120, 412]","{""certificates"": [""CEH""], ""majors"": ""IT"", ""type_majors"": ""Outst""}","[(1, 'Product', 4), (2, 'Product', 3), (3, 'Product', 1), (4, 'Product', 4), (5, 'Product', 4), (6, 'Product', 4), (7, 'Product', 1), (8, 'Product', 4), (9, 'Product', 2), (10, 'Product', 3), (11, 'Environment', 3), (12, 'Environment', 5), (13, 'Environment', 5), (14, 'Environment', 2), (15, 'Environment', 3), (16, 'Environment', 3), (17, 'Environment', 3), (18, 'Environment', 5), (19, 'Environment', 1), (20, 'Environment', 1)]"
111,Type B,Description task 111,"[5, 395, 379, 257, 201]","{""certificates"": [""CEH""], ""majors"": ""IT"", ""type_majors"": ""Outst""}","[(1, 'Product', 1), (2, 'Product', 5), (3, 'Product', 3), (4, 'Product', 2), (5, 'Product', 2), (6, 'Product', 4), (7, 'Product', 3), (8, 'Product', 5), (9, 'Product', 3), (10, 'Product', 4), (11, 'Environment', 1), (12, 'Environment', 2), (13, 'Environment', 2), (14, 'Environment', 1), (15, 'Environment', 4), (16, 'Environment', 3), (17, 'Environment', 4), (18, 'Environment', 4), (19, 'Environment', 4), (20, 'Environment', 3)]"
112,Type A,Description task 112,"[8, 387, 462]","{""certificates"": [""CISSP""], ""majors"": ""Math"", ""type_majors"": ""Avg""}","[(1, 'Product', 4), (2, 'Product', 3), (3, 'Product', 3), (4, 'Product', 5), (5, 'Product', 3), (6, 'Product', 4), (7, 'Product', 2), (8, 'Product', 1), (9, 'Product', 1), (10, 'Product', 4), (11, 'Environment', 3), (12, 'Environment', 1), (13, 'Environment', 3), (14, 'Environment', 5), (15, 'Environment', 1), (16, 'Environment', 4), (17, 'Environment', 5), (18, 'Environment', 5), (19, 'Environment', 5), (20, 'Environment', 3)]"
113,Type A,Description task 113,"[357, 274, 371, 152, 446]","{""certificates"": [""CSPA""], ""majors"": ""DS"", ""type_majors"": ""Good""}","[(1, 'Product', 3), (2, 'Product', 4), (3, 'Product', 1), (4, 'Product', 2), (5, 'Product', 4), (6, 'Product', 1), (7, 'Product', 5), (8, 'Product', 1), (9, 'Product', 4), (10, 'Product', 5), (11, 'Environment', 3), (12, 'Environment', 4), (13, 'Environment', 1), (14, 'Environment', 1), (15, 'Environment', 2), (16, 'Environment', 2), (17, 'Environment', 3), (18, 'Environment', 4), (19, 'Environment', 5), (20, 'Environment', 3)]"
114,Type B,Description task 114,"[323, 486, 223]","{""certificates"": [""CHFI""], ""majors"": ""Math"", ""type_majors"": ""Good""}","[(1, 'Product', 5), (2, 'Product', 5), (3, 'Product', 5), (4, 'Product', 4), (5, 'Product', 5), (6, 'Product', 1), (7, 'Product', 1), (8, 'Product', 5), (9, 'Product', 1), (10, 'Product', 1), (11, 'Environment', 5), (12, 'Environment', 1), (13, 'Environment', 4), (14, 'Environment', 3), (15, 'Environment', 4), (16, 'Environment', 4), (17, 'Environment', 3), (18, 'Environment', 4), (19, 'Environment', 3), (20, 'Environment', 4)]"
115,Type B,Description task 115,"[89, 436, 33]","{""certificates"": [""OSCP""], ""majors"": ""CS"", ""type_majors"": ""Outst""}","[(1, 'Product', 5), (2, 'Product', 4), (3, 'Product', 2), (4, 'Product', 5), (5, 'Product', 3), (6, 'Product', 5), (7, 'Product', 4), (8, 'Product', 3), (9, 'Product', 5), (10, 'Product', 5), (11, 'Environment', 5), (12, 'Environment', 4), (13, 'Environment', 5), (14, 'Environment', 3), (15, 'Environment', 4), (16, 'Environment', 1), (17, 'Environment', 3), (18, 'Environment', 4), (19, 'Environment', 5), (20, 'Environment', 3)]"
116,Type A,Description task 116,[337],"{""certificates"": [""OSCE""], ""majors"": ""IT"", ""type_majors"": ""Excel""}","[(1, 'Product', 1), (2, 'Product', 4), (3, 'Product', 3), (4, 'Product', 1), (5, 'Product', 2), (6, 'Product', 3), (7, 'Product', 5), (8, 'Product', 3), (9, 'Product', 5), (10, 'Product', 3), (11, 'Environment', 1), (12, 'Environment', 3), (13, 'Environment', 1), (14, 'Environment', 2), (15, 'Environment', 2), (16, 'Environment', 4), (17, 'Environment', 2), (18, 'Environment', 4), (19, 'Environment', 2), (20, 'Environment', 4)]"
117,Type C,Description task 117,"[55, 433, 246, 77, 153]","{""certificates"": [""CISSP""], ""majors"": ""Math"", ""type_majors"": ""Excel""}","[(1, 'Product', 1), (2, 'Product', 4), (3, 'Product', 4), (4, 'Product', 2), (5, 'Product', 4), (6, 'Product', 2), (7, 'Product', 5), (8, 'Product', 1), (9, 'Product', 1), (10, 'Product', 3), (11, 'Environment', 1), (12, 'Environment', 3), (13, 'Environment', 2), (14, 'Environment', 2), (15, 'Environment', 4), (16, 'Environment', 2), (17, 'Environment', 2), (18, 'Environment', 5), (19, 'Environment', 1), (20, 'Environment', 4)]"
118,Type A,Description task 118,[493],"{""certificates"": [""CISSP""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Avg""}","[(1, 'Product', 2), (2, 'Product', 2), (3, 'Product', 4), (4, 'Product', 3), (5, 'Product', 1), (6, 'Product', 5), (7, 'Product', 2), (8, 'Product', 5), (9, 'Product', 1), (10, 'Product', 1), (11, 'Environment', 2), (12, 'Environment', 1), (13, 'Environment', 4), (14, 'Environment', 4), (15, 'Environment', 4), (16, 'Environment', 3), (17, 'Environment', 2), (18, 'Environment', 3), (19, 'Environment', 1), (20, 'Environment', 5)]"
119,Type C,Description task 119,"[203, 447, 106, 307, 259, 227]","{""certificates"": [""CISSP""], ""majors"": ""IT"", ""type_majors"": ""Good""}","[(1, 'Product', 5), (2, 'Product', 3), (3, 'Product', 2), (4, 'Product', 5), (5, 'Product', 2), (6, 'Product', 2), (7, 'Product', 3), (8, 'Product', 5), (9, 'Product', 1), (10, 'Product', 4), (11, 'Environment', 5), (12, 'Environment', 2), (13, 'Environment', 3), (14, 'Environment', 3), (15, 'Environment', 4), (16, 'Environment', 2), (17, 'Environment', 2), (18, 'Environment', 4), (19, 'Environment', 4), (20, 'Environment', 5)]"
120,Type C,Description task 120,"[473, 238, 408]","{""certificates"": [""CHFI""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Excel""}","[(1, 'Product', 3), (2, 'Product', 4), (3, 'Product', 1), (4, 'Product', 5), (5, 'Product', 2), (6, 'Product', 2), (7, 'Product', 2), (8, 'Product', 2), (9, 'Product', 1), (10, 'Product', 3), (11, 'Environment', 3), (12, 'Environment', 5), (13, 'Environment', 5), (14, 'Environment', 1), (15, 'Environment', 4), (16, 'Environment', 4), (17, 'Environment', 5), (18, 'Environment', 4), (19, 'Environment', 5), (20, 'Environment', 1)]"
121,Type C,Description task 121,"[83, 12, 310, 239]","{""certificates"": [""OSCE""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Excel""}","[(1, 'Product', 1), (2, 'Product', 4), (3, 'Product', 3), (4, 'Product', 4), (5, 'Product', 2), (6, 'Product', 3), (7, 'Product', 3), (8, 'Product', 3), (9, 'Product', 3), (10, 'Product', 2), (11, 'Environment', 1), (12, 'Environment', 4), (13, 'Environment', 4), (14, 'Environment', 3), (15, 'Environment', 5), (16, 'Environment', 2), (17, 'Environment', 4), (18, 'Environment', 5), (19, 'Environment', 2), (20, 'Environment', 5)]"
122,Type B,Description task 122,"[392, 442, 6, 286]","{""certificates"": [""CSPA""], ""majors"": ""IT"", ""type_majors"": ""Avg""}","[(1, 'Product', 2), (2, 'Product', 3), (3, 'Product', 4), (4, 'Product', 3), (5, 'Product', 2), (6, 'Product', 4), (7, 'Product', 3), (8, 'Product', 4), (9, 'Product', 5), (10, 'Product', 5), (11, 'Environment', 3), (12, 'Environment', 3), (13, 'Environment', 3), (14, 'Environment', 4), (15, 'Environment', 4), (16, 'Environment', 3), (17, 'Environment', 2), (18, 'Environment', 5), (19, 'Environment', 4), (20, 'Environment', 5)]"
123,Type A,Description task 123,[57],"{""certificates"": [""OSCE""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Excel""}","[(1, 'Product', 3), (2, 'Product', 4), (3, 'Product', 1), (4, 'Product', 3), (5, 'Product', 2), (6, 'Product', 5), (7, 'Product', 2), (8, 'Product', 2), (9, 'Product', 2), (10, 'Product', 5), (11, 'Environment', 5), (12, 'Environment', 1), (13, 'Environment', 1), (14, 'Environment', 5), (15, 'Environment', 1), (16, 'Environment', 3), (17, 'Environment', 5), (18, 'Environment', 1), (19, 'Environment', 2), (20, 'Environment', 1)]"
124,Type B,Description task 124,"[151, 397]","{""certificates"": [""CSPA""], ""majors"": ""IT"", ""type_majors"": ""Excel""}","[(1, 'Product', 1), (2, 'Product', 4), (3, 'Product', 4), (4, 'Product', 2), (5, 'Product', 1), (6, 'Product', 3), (7, 'Product', 1), (8, 'Product', 5), (9, 'Product', 3), (10, 'Product', 5), (11, 'Environment', 3), (12, 'Environment', 1), (13, 'Environment', 2), (14, 'Environment', 3), (15, 'Environment', 5), (16, 'Environment', 5), (17, 'Environment', 5), (18, 'Environment', 3), (19, 'Environment', 5), (20, 'Environment', 3)]"
125,Type B,Description task 125,"[441, 289, 384, 336]","{""certificates"": [""OSCP""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Avg""}","[(1, 'Product', 4), (2, 'Product', 1), (3, 'Product', 2), (4, 'Product', 4), (5, 'Product', 2), (6, 'Product', 4), (7, 'Product', 2), (8, 'Product', 2), (9, 'Product', 1), (10, 'Product', 2), (11, 'Environment', 4), (12, 'Environment', 3), (13, 'Environment', 2), (14, 'Environment', 2), (15, 'Environment', 2), (16, 'Environment', 3), (17, 'Environment', 4), (18, 'Environment', 2), (19, 'Environment', 2), (20, 'Environment', 5)]"
126,Type A,Description task 126,"[248, 463, 106]","{""certificates"": [""CSPA""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Outst""}","[(1, 'Product', 1), (2, 'Product', 5), (3, 'Product', 3), (4, 'Product', 1), (5, 'Product', 3), (6, 'Product', 4), (7, 'Product', 4), (8, 'Product', 4), (9, 'Product', 5), (10, 'Product', 2), (11, 'Environment', 2), (12, 'Environment', 1), (13, 'Environment', 3), (14, 'Environment', 3), (15, 'Environment', 4), (16, 'Environment', 5), (17, 'Environment', 5), (18, 'Environment', 3), (19, 'Environment', 3), (20, 'Environment', 3)]"
127,Type C,Description task 127,"[224, 303, 283, 148]","{""certificates"": [""OSCE""], ""majors"": ""IT"", ""type_majors"": ""Avg""}","[(1, 'Product', 5), (2, 'Product', 3), (3, 'Product', 3), (4, 'Product', 4), (5, 'Product', 3), (6, 'Product', 5), (7, 'Product', 1), (8, 'Product', 2), (9, 'Product', 4), (10, 'Product', 5), (11, 'Environment', 4), (12, 'Environment', 3), (13, 'Environment', 5), (14, 'Environment', 5), (15, 'Environment', 1), (16, 'Environment', 2), (17, 'Environment', 1), (18, 'Environment', 4), (19, 'Environment', 4), (20, 'Environment', 2)]"
128,Type A,Description task 128,"[188, 353]","{""certificates"": [""CEH""], ""majors"": ""Math"", ""type_majors"": ""Excel""}","[(1, 'Product', 1), (2, 'Product', 2), (3, 'Product', 4), (4, 'Product', 2), (5, 'Product', 2), (6, 'Product', 2), (7, 'Product', 2), (8, 'Product', 5), (9, 'Product', 5), (10, 'Product', 4), (11, 'Environment', 3), (12, 'Environment', 3), (13, 'Environment', 3), (14, 'Environment', 2), (15, 'Environment', 2), (16, 'Environment', 3), (17, 'Environment', 5), (18, 'Environment', 3), (19, 'Environment', 1), (20, 'Environment', 3)]"
